ensayo,condicion,clase_esperada,frames_totales,frames_detectados,tasa_deteccion_pct,frames_correctos,accuracy_raw_pct,confianza_media_pct,comandos_emitidos,comandos_correctos,falsos_comandos,exito_comando,comandos_obtenidos
1,normal,0,86,86,100.0,86,100.0,99.67339787372323,0,0,0,1,[]
2,normal,1,89,89,100.0,89,100.0,91.55019334193027,1,1,0,1,[1]
3,normal,2,103,103,100.0,103,100.0,97.05245425400226,1,1,0,1,[2]
4,normal,3,91,91,100.0,91,100.0,98.9419073848934,1,1,0,1,[3]
5,normal,4,99,99,100.0,99,100.0,77.99634536107382,1,1,0,1,[4]
6,lejos,0,88,87,98.86363636363636,87,100.0,99.02871737534973,0,0,0,1,[]
7,lejos,1,95,95,100.0,95,100.0,88.83273112146478,1,1,0,1,[1]
8,lejos,2,89,89,100.0,89,100.0,98.86039214187794,1,1,0,1,[2]
9,lejos,3,93,93,100.0,93,100.0,98.85984306694358,1,1,0,1,[3]
10,lejos,4,92,92,100.0,48,52.17391304347826,63.97883632908696,0,0,0,0,[]
11,lateral,0,90,89,98.88888888888889,89,100.0,99.739768263999,0,0,0,1,[]
12,lateral,1,97,97,100.0,97,100.0,98.3583967095798,1,1,0,1,[1]
13,lateral,2,89,89,100.0,87,97.75280898876404,98.72893670971474,1,1,0,1,[2]
14,lateral,3,91,91,100.0,91,100.0,98.84593008638738,1,1,0,1,[3]
15,lateral,4,94,94,100.0,94,100.0,99.22813139063247,1,1,0,1,[4]
16,baja_luz,0,87,86,98.85057471264368,83,96.51162790697676,98.95080528980078,0,0,0,1,[]
17,baja_luz,1,90,90,100.0,90,100.0,91.96462015310924,1,1,0,1,[1]
18,baja_luz,2,93,93,100.0,93,100.0,97.11850150938956,1,1,0,1,[2]
19,baja_luz,3,98,98,100.0,98,100.0,99.43966476284729,1,1,0,1,[3]
20,baja_luz,4,96,96,100.0,39,40.625,87.18392861386141,2,1,1,1,"[3, 4]"
