ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
1,normal,0,1,0,99.8553216457367,-1
1,normal,0,1,0,99.93256330490112,-1
1,normal,0,1,0,99.23517107963562,-1
1,normal,0,1,0,99.81532692909241,-1
1,normal,0,1,0,98.62388968467712,-1
1,normal,0,1,0,99.61190223693848,-1
1,normal,0,1,0,99.12698268890381,-1
1,normal,0,1,0,99.27924871444702,-1
1,normal,0,1,0,99.59726929664612,-1
1,normal,0,1,0,99.23127293586731,-1
1,normal,0,1,0,98.75324368476868,-1
1,normal,0,1,0,98.83126616477966,-1
1,normal,0,1,0,98.6615538597107,-1
1,normal,0,1,0,98.85596632957458,-1
1,normal,0,1,0,98.70235919952393,-1
1,normal,0,1,0,98.82414937019348,-1
1,normal,0,1,0,99.46687817573547,-1
1,normal,0,1,0,97.39382266998291,-1
1,normal,0,1,0,99.00984168052673,-1
1,normal,0,1,0,99.26595091819763,-1
1,normal,0,1,0,99.35393929481506,-1
1,normal,0,1,0,99.5261549949646,-1
1,normal,0,1,0,99.55868721008301,-1
1,normal,0,1,0,99.61346387863159,-1
1,normal,0,1,0,99.73529577255249,-1
1,normal,0,1,0,99.81374740600586,-1
1,normal,0,1,0,99.79239702224731,-1
1,normal,0,1,0,99.64196681976318,-1
1,normal,0,1,0,99.71170425415039,-1
1,normal,0,1,0,99.73112344741821,-1
1,normal,0,1,0,99.68804121017456,-1
1,normal,0,1,0,99.79897737503052,-1
1,normal,0,1,0,99.76081848144531,-1
1,normal,0,1,0,99.90109205245972,-1
1,normal,0,1,0,99.95606541633606,-1
1,normal,0,1,0,99.92444515228271,-1
1,normal,0,1,0,99.91649389266968,-1
1,normal,0,1,0,99.93249177932739,-1
1,normal,0,1,0,99.91349577903748,-1
1,normal,0,1,0,99.91310238838196,-1
1,normal,0,1,0,99.77974891662598,-1
1,normal,0,1,0,99.86746311187744,-1
1,normal,0,1,0,99.9077558517456,-1
1,normal,0,1,0,99.65225458145142,-1
1,normal,0,1,0,99.91074204444885,-1
1,normal,0,1,0,99.71455931663513,-1
1,normal,0,1,0,99.93131160736084,-1
1,normal,0,1,0,99.83181953430176,-1
1,normal,0,1,0,99.89364743232727,-1
1,normal,0,1,0,99.8688280582428,-1
1,normal,0,1,0,99.81890320777893,-1
1,normal,0,1,0,99.82728958129883,-1
1,normal,0,1,0,99.7978150844574,-1
1,normal,0,1,0,99.89216327667236,-1
1,normal,0,1,0,99.88667964935303,-1
1,normal,0,1,0,99.85814094543457,-1
1,normal,0,1,0,99.91739392280579,-1
1,normal,0,1,0,99.94298815727234,-1
1,normal,0,1,0,99.93606209754944,-1
1,normal,0,1,0,99.92907047271729,-1
1,normal,0,1,0,99.89282488822937,-1
1,normal,0,1,0,99.93534684181213,-1
1,normal,0,1,0,99.92688298225403,-1
1,normal,0,1,0,99.92721676826477,-1
1,normal,0,1,0,99.88435506820679,-1
1,normal,0,1,0,99.90476965904236,-1
1,normal,0,1,0,99.91773962974548,-1
